movie_title,imdb_id,duration,language,country,release_date,release_country,budget,genres,title_year,num_voted_users,director_name,director_facebook_likes,actor_1_name,actor_1_facebook_likes,actor_2_name,actor_2_facebook_likes,actor_3_name,actor_3_facebook_likes,actor_4_name,actor_4_facebook_likes,movie_trailer_views,movie_trailer_likes,movie_trailer_unlikes,production,imdb_score
Mothers of the Bride,tt3804756,89,English,USA,10 May 2015,release_countrytt3804756,budget,Comedy,2015,142,Sam Irvin,806,null,8530,null,8530,null,8530,null,8530,255997,770,28,Down the Aisle Movie Productions,5
Shootfighter II,tt0114433,95,English,USA,27 Aug 1996,release_countrytt0114433,budget,Action,1996,453,Paul Ziller,204,null,8530,null,8530,null,8530,null,8530,0,0,0,N/A,5
Three Way,tt0368343,88,English,USA,29 Jun 2004,release_countrytt0368343,budget,Crime| Drama| Thriller,2004,1316,Scott Ziehl,21,null,8530,null,8530,null,8530,null,8530,439,2,0,Sony Pictures Home Entertainment,5
2 Jacks,tt1799585,90,English,USA,18 Oct 2013,release_countrytt1799585,budget,Comedy| Drama,2012,260,Bernard Rose,2709,null,8530,null,8530,null,8530,null,8530,17379,36,4,Breaking Glass Pictures,5
Among Ravens,tt2328696,103,English,USA,18 Jul 2014,release_countrytt2328696,budget,Comedy| Drama,2014,285,Russell Friedenberg| Randy Redroad,201,null,8530,null,8530,null,8530,null,8530,242465,296,37,Gravitas Ventures,5
Multiple Sarcasms,tt0984210,97,English,USA,08 Apr 2010,release_countrytt0984210,budget,Drama,2010,562,Brooks Branch,2313,null,8530,null,8530,null,8530,null,8530,7400,5,0,Mac Releasing,5
Retribution,tt4845094,91,English,UK,04 Sep 2017,release_countrytt4845094,budget,Drama| Fantasy| Romance,2017,7,Christine Edwards,434,null,8530,null,8530,null,8530,null,8530,188979,6821,3108,N/A,6
Tail Lights Fade,tt0122743,87,English,Canada,03 Dec 1999,release_countrytt0122743,budget,Comedy| Action| Drama,1999,691,Malcolm Ingram,712,null,8530,null,8530,null,8530,null,8530,1646,0,0,Trimark,5
The Midnight Game,tt2155391,74,English,USA,02 Mar 2013,release_countrytt2155391,budget,Horror| Thriller,2013,632,A.D. Calvo,25,null,8530,null,8530,null,8530,null,8530,368086,1169,94,Anchor Bay Entertainment,5
The Danger Element,tt6149282,100,English,USA,01 Aug 2017,release_countrytt6149282,budget,Action,2017,6,John Soares,1125,null,8530,null,8530,null,8530,null,8530,0,0,0,N/A,6
